channel,a,b,rate_numeric,rate_analytic
depol,2,64,6.647586339771805,6.666666666666666
depol,2,128,6.647586339771916,6.666666666666666
depol,4,1,6.647586339771694,6.666666666666666
depol,4,2,6.647586339771805,6.666666666666666
depol,4,8,6.647586339771694,6.666666666666666
depol,4,16,6.647586339771694,6.666666666666666
depol,4,32,6.647586339771694,6.666666666666666
depol,4,64,6.647586339771694,6.666666666666666
depol,4,128,6.647586339771805,6.666666666666666
depol,8,1,6.647586339771694,6.666666666666666
depol,8,2,6.647586339771805,6.666666666666666
depol,8,4,6.647586339771694,6.666666666666666
depol,8,16,6.647586339771694,6.666666666666666
depol,8,32,6.647586339771694,6.666666666666666
depol,8,64,6.647586339771694,6.666666666666666
depol,8,128,6.647586339771805,6.666666666666666
depol,16,1,6.647586339771694,6.666666666666666
depol,16,2,6.647586339771805,6.666666666666666
depol,16,4,6.647586339771694,6.666666666666666
depol,16,8,6.647586339771694,6.666666666666666
depol,16,32,6.647586339771694,6.666666666666666
depol,16,64,6.647586339771694,6.666666666666666
depol,16,128,6.647586339771805,6.666666666666666
depol,32,1,6.647586339771694,6.666666666666666
depol,32,2,6.647586339771805,6.666666666666666
depol,32,4,6.647586339771694,6.666666666666666
depol,32,8,6.647586339771694,6.666666666666666
depol,32,16,6.647586339771694,6.666666666666666
depol,32,64,6.647586339771694,6.666666666666666
depol,32,128,6.647586339771805,6.666666666666666
depol,64,1,6.647586339771694,6.666666666666666
depol,64,2,6.647586339771805,6.666666666666666
depol,64,4,6.647586339771694,6.666666666666666
depol,64,8,6.647586339771694,6.666666666666666
depol,64,16,6.647586339771694,6.666666666666666
depol,64,32,6.647586339771694,6.666666666666666
depol,64,128,6.647586339771805,6.666666666666666
depol,128,1,6.647586339771805,6.666666666666666
depol,128,2,6.647586339771916,6.666666666666666
depol,128,4,6.647586339771805,6.666666666666666
depol,128,8,6.647586339771805,6.666666666666666
depol,128,16,6.647586339771805,6.666666666666666
depol,128,32,6.647586339771805,6.666666666666666
depol,128,64,6.647586339771805,6.666666666666666
x_err,1,2,7.972055930055233,8.0
x_err,1,4,7.972055930055233,8.0
x_err,1,8,7.972055930055233,8.0
x_err,1,16,7.972055930055233,8.0
x_err,1,32,7.972055930055233,8.0
x_err,1,64,7.972055930055233,8.0
x_err,1,128,7.972055930055233,8.0
x_err,2,1,7.972055930055233,8.0
x_err,2,4,7.972055930055233,8.0
x_err,2,8,7.972055930055233,8.0
x_err,2,16,7.972055930055233,8.0
x_err,2,32,7.972055930055233,8.0
x_err,2,64,7.972055930055233,8.0
x_err,2,128,7.972055930055233,8.0
x_err,4,1,7.972055930055233,8.0
x_err,4,2,7.972055930055233,8.0
x_err,4,8,7.972055930055233,8.0
x_err,4,16,7.972055930055233,8.0
x_err,4,32,7.972055930055233,8.0
x_err,4,64,7.972055930055233,8.0
x_err,4,128,7.972055930055233,8.0
x_err,8,1,7.972055930055233,8.0
x_err,8,2,7.972055930055233,8.0
x_err,8,4,7.972055930055233,8.0
x_err,8,16,7.972055930055233,8.0
x_err,8,32,7.972055930055233,8.0
x_err,8,64,7.972055930055233,8.0
x_err,8,128,7.972055930055233,8.0
x_err,16,1,7.972055930055233,8.0
x_err,16,2,7.972055930055233,8.0
x_err,16,4,7.972055930055233,8.0
x_err,16,8,7.972055930055233,8.0
x_err,16,32,7.972055930055233,8.0
x_err,16,64,7.972055930055233,8.0
x_err,16,128,7.972055930055233,8.0
x_err,32,1,7.972055930055233,8.0
x_err,32,2,7.972055930055233,8.0
x_err,32,4,7.972055930055233,8.0
x_err,32,8,7.972055930055233,8.0
x_err,32,16,7.972055930055233,8.0
x_err,32,64,7.972055930055233,8.0
x_err,32,128,7.972055930055233,8.0
x_err,64,1,7.972055930055233,8.0
x_err,64,2,7.972055930055233,8.0
x_err,64,4,7.972055930055233,8.0
x_err,64,8,7.972055930055233,8.0
x_err,64,16,7.972055930055233,8.0
x_err,64,32,7.972055930055233,8.0
x_err,64,128,7.972055930055233,8.0
x_err,128,1,7.972055930055233,8.0
x_err,128,2,7.972055930055233,8.0
x_err,128,4,7.972055930055233,8.0
x_err,128,8,7.972055930055233,8.0
x_err,128,16,7.972055930055233,8.0
x_err,128,32,7.972055930055233,8.0
x_err,128,64,7.972055930055233,8.0
biased_pauli,1,2,7.177480147486759,7.2
biased_pauli,1,4,7.177480147486759,7.2
biased_pauli,1,8,7.177480147486759,7.2
biased_pauli,1,16,7.177480147486759,7.2
biased_pauli,1,32,7.177480147486759,7.2
biased_pauli,1,64,7.177480147486648,7.2
biased_pauli,1,128,7.177480147486537,7.2
biased_pauli,2,1,7.177480147486759,7.2
biased_pauli,2,4,7.17748014748687,7.2
biased_pauli,2,8,7.17748014748687,7.2
biased_pauli,2,16,7.17748014748687,7.2
biased_pauli,2,32,7.17748014748687,7.2
biased_pauli,2,64,7.177480147486759,7.2
biased_pauli,2,128,7.177480147486648,7.2
biased_pauli,4,1,7.177480147486759,7.2
biased_pauli,4,2,7.17748014748687,7.2
biased_pauli,4,8,7.177480147486981,7.2
biased_pauli,4,16,7.177480147486981,7.2
biased_pauli,4,32,7.177480147486981,7.2
biased_pauli,4,64,7.17748014748687,7.2
biased_pauli,4,128,7.177480147486759,7.2
biased_pauli,8,1,7.177480147486759,7.2
biased_pauli,8,2,7.17748014748687,7.2
biased_pauli,8,4,7.177480147486981,7.2
biased_pauli,8,16,7.17748014748687,7.2
biased_pauli,8,32,7.17748014748687,7.2
biased_pauli,8,64,7.177480147486759,7.2
biased_pauli,8,128,7.177480147486648,7.2
biased_pauli,16,1,7.177480147486759,7.2
biased_pauli,16,2,7.17748014748687,7.2
biased_pauli,16,4,7.177480147486981,7.2
biased_pauli,16,8,7.17748014748687,7.2
biased_pauli,16,32,7.177480147486981,7.2
biased_pauli,16,64,7.17748014748687,7.2
biased_pauli,16,128,7.177480147486759,7.2
biased_pauli,32,1,7.177480147486759,7.2
biased_pauli,32,2,7.17748014748687,7.2
biased_pauli,32,4,7.177480147486981,7.2
biased_pauli,32,8,7.17748014748687,7.2
biased_pauli,32,16,7.177480147486981,7.2
biased_pauli,32,64,7.17748014748687,7.2
biased_pauli,32,128,7.177480147486759,7.2
biased_pauli,64,1,7.177480147486648,7.2
biased_pauli,64,2,7.177480147486759,7.2
biased_pauli,64,4,7.17748014748687,7.2
biased_pauli,64,8,7.177480147486759,7.2
biased_pauli,64,16,7.17748014748687,7.2
biased_pauli,64,32,7.17748014748687,7.2
biased_pauli,64,128,7.177480147486759,7.2
biased_pauli,128,1,7.177480147486537,7.2
biased_pauli,128,2,7.177480147486648,7.2
biased_pauli,128,4,7.177480147486759,7.2
biased_pauli,128,8,7.177480147486648,7.2
biased_pauli,128,16,7.177480147486759,7.2
biased_pauli,128,32,7.177480147486759,7.2
biased_pauli,128,64,7.177480147486759,7.2
inhom_dephase,1,2,2.2844285714282986,2.2857142857142856
inhom_dephase,1,4,2.569857142856846,2.571428571428571
inhom_dephase,1,8,2.855285714285394,2.857142857142857
inhom_dephase,1,16,3.1407142857140524,3.142857142857143
inhom_dephase,1,32,3.4261428571426,3.4285714285714284
inhom_dephase,1,64,3.7115714285712587,3.7142857142857144
inhom_dephase,1,128,3.996999999999584,4.0
inhom_dephase,2,1,2.2844285714282986,2.2857142857142856
inhom_dephase,2,4,2.8551224489791194,2.8571428571428568
inhom_dephase,2,8,3.1404693877549184,3.142857142857143
inhom_dephase,2,16,3.425816326530162,3.4285714285714284
inhom_dephase,2,32,3.71116326530585,3.714285714285714
inhom_dephase,2,64,3.996510204081205,4.0
inhom_dephase,2,128,4.28185714285656,4.285714285714286
inhom_dephase,4,1,2.569857142856846,2.571428571428571
inhom_dephase,4,2,2.8551224489791194,2.8571428571428568
inhom_dephase,4,8,3.42565306122411,3.428571428571429
inhom_dephase,4,16,3.710918367346494,3.7142857142857144
inhom_dephase,4,32,3.9961836734691003,4.0
inhom_dephase,4,64,4.2814489795913735,4.285714285714286
inhom_dephase,4,128,4.566714285713758,4.571428571428571
inhom_dephase,8,1,2.855285714285394,2.857142857142857
inhom_dephase,8,2,3.1404693877549184,3.142857142857143
inhom_dephase,8,4,3.42565306122411,3.428571428571429
inhom_dephase,8,16,3.996020408162826,4.0
